Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
187.0,"Monté Morris, Iowa St.",Sr.,2023-06-02 00:00:00,G,35,216,54,89,575,16.4
,"Dexter McClanahan, Savannah St.",So.,2023-06-04 00:00:00,G,28,152,73,83,460,16.4
189.0,"Eric Eaves, South Carolina St.",Sr.,2023-06-03 00:00:00,G,31,175,35,124,509,16.4
190.0,"Kyle Kuzma, Utah",Jr.,2023-06-09 00:00:00,F,29,182,27,85,476,16.4
191.0,"Drew McDonald, Northern Ky.",So.,2023-06-08 00:00:00,C,35,201,53,118,573,16.4
192.0,"Josh Jackson, Kansas",---,-,-,35,220,34,98,572,16.3
193.0,"Stephen Thompson Jr., Oregon St.",So.,2023-06-04 00:00:00,G,26,148,57,71,424,16.3
194.0,"L.J. Peak, Georgetown",Jr.,2023-06-05 00:00:00,F,32,168,33,152,521,16.3
195.0,"TJ Leaf, UCLA",Fr.,2023-06-10 00:00:00,F,35,235,27,72,569,16.3
196.0,"Tra Holder, Arizona St.",Jr.,2023-06-01 00:00:00,G,33,169,46,152,536,16.2
197.0,"Desmond Williams, Florida A&M",Jr.,2023-06-06 00:00:00,F,29,182,0,107,471,16.2
198.0,"Will Darley, UMBC",Sr.,2023-06-08 00:00:00,G,34,182,90,98,552,16.2
199.0,"Jay Wright, Louisiana",Sr.,2023-06-01 00:00:00,G,33,181,51,122,535,16.2
200.0,"Bryant Crawford, Wake Forest",So.,2023-06-03 00:00:00,G,33,169,54,142,534,16.2
201.0,"Brynton Lemar, UC Davis",Sr.,2023-06-04 00:00:00,G,36,179,80,143,581,16.1
202.0,"Michael Buchanan, USC Upstate",Sr.,7-0,C,32,207,0,102,516,16.1
203.0,"Bryson Scott, Purdue Fort Wayne",Jr.,2023-06-01 00:00:00,G,33,193,58,88,532,16.1
204.0,"Kassius Robertson, Canisius",Jr.,2023-06-03 00:00:00,G,34,178,98,94,548,16.1
205.0,"Dillon Brooks, Oregon",Jr.,2023-06-07 00:00:00,F,35,206,57,95,564,16.1
206.0,"Demetrius Denzel-Dyson, Samford",Jr.,2023-06-05 00:00:00,G,36,195,86,104,580,16.1
207.0,"Josh Okogie, Georgia Tech",Fr.,2023-06-04 00:00:00,G,37,194,28,180,596,16.1
208.0,"Stevie Browning, Marshall",Sr.,2023-06-03 00:00:00,G,34,204,70,68,546,16.1
209.0,"Matt Klinewski, Lafayette",Jr.,2023-06-08 00:00:00,F,30,195,0,91,481,16.0
,"Xavier Moon, Morehead St.",Sr.,2023-06-02 00:00:00,G,30,164,71,82,481,16.0
211.0,"Terrell Miller, Murray St.",Jr.,2023-06-08 00:00:00,F,33,184,67,94,529,16.0
212.0,"Justin James, Wyoming",So.,2023-06-07 00:00:00,G,37,198,49,147,592,16.0
,"Cameron Oliver, Nevada",So.,2023-06-08 00:00:00,F,35,202,66,90,560,16.0
,"Kelan Martin, Butler",Jr.,2023-06-07 00:00:00,F,34,180,64,120,544,16.0
215.0,"Ryan Daly, Delaware",Fr.,2023-06-04 00:00:00,F,32,189,62,71,511,16.0
216.0,"Zach Thomas, Bucknell",Jr.,2023-06-06 00:00:00,F,35,181,56,140,558,15.9
217.0,"Asante Gist, Eastern Ky.",Fr.,2023-05-11 00:00:00,G,31,158,64,114,494,15.9
,"Justin Strings, Sacramento St.",Jr.,2023-06-07 00:00:00,F,31,179,55,81,494,15.9
219.0,"Kavin Gilder-Tilbury, Texas St.",Sr.,2023-06-07 00:00:00,F,36,205,71,92,573,15.9
220.0,"Brenton Scott, Indiana St.",Jr.,2023-06-01 00:00:00,G,31,165,73,90,493,15.9
221.0,"Jalen Hayes, Oakland",Jr.,2023-06-07 00:00:00,F,34,217,5,101,540,15.9
222.0,"Jaaron Simmons, Ohio",Jr.,2023-06-01 00:00:00,G,31,176,37,103,492,15.9
223.0,"Marcus LoVett, St. John's (NY)",Fr.,6-0,G,30,166,50,94,476,15.9
224.0,"Jermaine Crumpton, Canisius",Jr.,2023-06-06 00:00:00,F,34,195,57,92,539,15.9
225.0,"Chris Flemmings, UNCW",Sr.,2023-06-05 00:00:00,G,35,193,70,98,554,15.8
226.0,"Jeff Beverly, UTSA",Jr.,2023-06-06 00:00:00,F,33,183,22,134,522,15.8
,"Jazz Johnson, Portland",So.,2023-05-10 00:00:00,G,33,177,61,107,522,15.8
228.0,"Jaleen Smith, New Hampshire",Sr.,2023-06-04 00:00:00,G,32,179,48,100,506,15.8
229.0,"Joe Cremo, UAlbany",So.,2023-06-04 00:00:00,G,35,185,50,133,553,15.8
230.0,"Jaylin Walker, Kent St.",So.,2023-06-01 00:00:00,G,34,185,88,79,537,15.8
231.0,"Charles Cooke, Dayton",Sr.,2023-06-05 00:00:00,G,29,151,49,106,457,15.8
232.0,"Isaiah Still, Robert Morris",So.,2023-06-06 00:00:00,G,31,152,60,124,488,15.7
233.0,"Rodney Bullock, Providence",Jr.,2023-06-08 00:00:00,F,33,177,46,119,519,15.7
,"Desi Rodriguez, Seton Hall",Jr.,2023-06-06 00:00:00,F,33,192,50,85,519,15.7
235.0,"Noah Allen, Hawaii",Sr.,2023-06-07 00:00:00,F,30,169,42,91,471,15.7
